t,amk_torque_limit_neg_left,amk_torque_limit_pos_left,amk_torque_target_left,amk_control_left
1751195748.795350,0.000000,214.200000,4.800000,1795.000000
1751195748.805350,0.000000,214.200000,4.800000,1795.000000
1751195748.815350,0.000000,214.200000,4.800000,1795.000000
1751195748.825400,0.000000,214.200000,4.800000,1795.000000
1751195748.835350,0.000000,214.200000,4.800000,1795.000000
1751195748.845350,0.000000,214.200000,4.800000,1795.000000
1751195748.855400,0.000000,214.200000,4.800000,1795.000000
1751195748.865400,0.000000,214.200000,4.100000,1795.000000
1751195748.875400,0.000000,214.200000,4.100000,1795.000000
1751195748.885400,0.000000,214.200000,4.100000,1795.000000
1751195748.895400,0.000000,214.200000,4.100000,1795.000000
1751195748.905350,0.000000,214.200000,4.100000,1795.000000
1751195748.915600,0.000000,214.200000,4.100000,1795.000000
1751195748.925400,0.000000,214.200000,4.100000,1795.000000
1751195748.935400,0.000000,214.200000,4.100000,1795.000000
1751195748.945650,0.000000,214.200000,4.100000,1795.000000
1751195748.955400,0.000000,214.200000,4.100000,1795.000000
1751195748.965400,0.000000,214.200000,4.100000,1795.000000
1751195748.975350,0.000000,214.200000,4.100000,1795.000000
1751195748.985400,0.000000,214.200000,4.100000,1795.000000
1751195748.995400,0.000000,214.200000,4.100000,1795.000000
1751195749.005350,0.000000,214.200000,4.100000,1795.000000
1751195749.015400,0.000000,214.200000,4.800000,1795.000000
1751195749.025400,0.000000,214.200000,4.800000,1795.000000
1751195749.035400,0.000000,214.200000,4.800000,1795.000000
1751195749.045400,0.000000,214.200000,4.800000,1795.000000
1751195749.055400,0.000000,214.200000,4.800000,1795.000000
1751195749.065350,0.000000,214.200000,4.800000,1795.000000
1751195749.075400,0.000000,214.200000,4.800000,1795.000000
1751195749.085400,0.000000,214.200000,4.800000,1795.000000
1751195749.095350,0.000000,214.200000,4.800000,1795.000000
1751195749.105400,0.000000,214.200000,4.800000,1795.000000
1751195749.115400,0.000000,214.200000,4.100000,1795.000000
1751195749.125450,0.000000,214.200000,4.100000,1795.000000
1751195749.135400,0.000000,214.200000,4.100000,1795.000000
1751195749.145400,0.000000,214.200000,4.100000,1795.000000
1751195749.155450,0.000000,214.200000,4.100000,1795.000000
1751195749.165350,0.000000,214.200000,4.100000,1795.000000
1751195749.175400,0.000000,214.200000,4.100000,1795.000000
1751195749.185350,0.000000,214.200000,4.100000,1795.000000
1751195749.195350,0.000000,214.200000,4.100000,1795.000000
1751195749.205350,0.000000,214.200000,4.100000,1795.000000
1751195749.215400,0.000000,214.200000,4.100000,1795.000000
1751195749.225350,0.000000,214.200000,4.100000,1795.000000
1751195749.235350,0.000000,214.200000,4.100000,1795.000000
1751195749.245400,0.000000,214.200000,4.100000,1795.000000
1751195749.255350,0.000000,214.200000,4.100000,1795.000000
1751195749.265400,0.000000,214.200000,4.100000,1795.000000
1751195749.275400,0.000000,214.200000,4.100000,1795.000000
1751195749.285350,0.000000,214.200000,4.100000,1795.000000
1751195749.295400,0.000000,214.200000,4.100000,1795.000000
1751195749.305350,0.000000,214.200000,4.100000,1795.000000
1751195749.315350,0.000000,214.200000,4.800000,1795.000000
1751195749.325400,0.000000,214.200000,4.800000,1795.000000
1751195749.335350,0.000000,214.200000,4.800000,1795.000000
1751195749.345350,0.000000,214.200000,4.800000,1795.000000
1751195749.355350,0.000000,214.200000,4.800000,1795.000000
1751195749.365400,0.000000,214.200000,4.800000,1795.000000
1751195749.375400,0.000000,214.200000,4.800000,1795.000000
1751195749.385400,0.000000,214.200000,4.800000,1795.000000
1751195749.395400,0.000000,214.200000,4.800000,1795.000000
1751195749.405350,0.000000,214.200000,4.800000,1795.000000
1751195749.415350,0.000000,214.200000,4.100000,1795.000000
1751195749.425400,0.000000,214.200000,4.100000,1795.000000
1751195749.435350,0.000000,214.200000,4.100000,1795.000000
1751195749.445350,0.000000,214.200000,4.100000,1795.000000
1751195749.455350,0.000000,214.200000,4.100000,1795.000000
1751195749.465350,0.000000,214.200000,4.100000,1795.000000
1751195749.475400,0.000000,214.200000,4.100000,1795.000000
1751195749.485350,0.000000,214.200000,4.100000,1795.000000
1751195749.495350,0.000000,214.200000,4.100000,1795.000000
1751195749.505350,0.000000,214.200000,4.100000,1795.000000
1751195749.515400,0.000000,214.200000,4.100000,1795.000000
1751195749.525400,0.000000,214.200000,4.100000,1795.000000
1751195749.535350,0.000000,214.200000,4.100000,1795.000000
1751195749.545400,0.000000,214.200000,4.100000,1795.000000
1751195749.555400,0.000000,214.200000,4.100000,1795.000000
1751195749.565350,0.000000,214.200000,4.800000,1795.000000
1751195749.575600,0.000000,214.200000,4.800000,1795.000000
1751195749.585350,0.000000,214.200000,4.800000,1795.000000
1751195749.595350,0.000000,214.200000,4.800000,1795.000000
1751195749.605600,0.000000,214.200000,4.800000,1795.000000
1751195749.615350,0.000000,214.200000,4.800000,1795.000000
1751195749.625350,0.000000,214.200000,4.800000,1795.000000
1751195749.635400,0.000000,214.200000,4.800000,1795.000000
1751195749.645350,0.000000,214.200000,4.800000,1795.000000
1751195749.655350,0.000000,214.200000,4.800000,1795.000000
1751195749.665350,0.000000,214.200000,4.100000,1795.000000
1751195749.675400,0.000000,214.200000,4.100000,1795.000000
1751195749.685350,0.000000,214.200000,4.100000,1795.000000
1751195749.695350,0.000000,214.200000,4.100000,1795.000000
1751195749.705350,0.000000,214.200000,4.100000,1795.000000
1751195749.715350,0.000000,214.200000,4.100000,1795.000000
1751195749.725350,0.000000,214.200000,4.100000,1795.000000
1751195749.735350,0.000000,214.200000,4.100000,1795.000000
1751195749.745350,0.000000,214.200000,4.100000,1795.000000
1751195749.755350,0.000000,214.200000,4.100000,1795.000000
1751195749.765350,0.000000,214.200000,4.100000,1795.000000
1751195749.775400,0.000000,214.200000,4.100000,1795.000000
1751195749.785350,0.000000,214.200000,4.100000,1795.000000
