t,PDU_5V_current,PDU_12V_current,PDU_CH9_current,PDU_CH12_current,PDU_CH11_current,PDU_CH10_current
1751195607.003350,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195607.053300,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.103250,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.153300,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.203300,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.253350,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.303450,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.353350,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.403300,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.453300,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.503350,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.553300,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.603350,0.000000,0.000000,0.000000,0.000000,1.240000,0.080000
1751195607.653300,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195607.703300,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195607.753450,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195607.803300,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195607.853350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195607.903300,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195607.953350,0.000000,0.000000,0.000000,0.000000,1.280000,0.120000
1751195608.003350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.053300,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.103350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.153300,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.203450,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.253350,0.000000,0.000000,0.000000,0.000000,1.280000,0.120000
1751195608.303350,0.000000,0.000000,0.000000,0.000000,1.280000,0.120000
1751195608.353350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.403300,0.000000,0.000000,0.000000,0.000000,1.280000,0.120000
1751195608.453350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.503300,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.553350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.603350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.653450,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.703350,0.000000,0.000000,0.000000,0.000000,1.280000,0.120000
1751195608.753350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.803350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.853350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.903350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195608.953350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.003350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.053400,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.103400,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.153400,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.203350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.253350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.303350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.353350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.403350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.453350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.503350,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.553400,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.603400,0.000000,0.000000,0.000000,0.000000,1.280000,0.080000
1751195609.653350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195609.703350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195609.753400,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195609.803400,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195609.853350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195609.903300,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195609.953350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.003350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.053400,0.000000,0.000000,0.000000,0.000000,1.320000,0.120000
1751195610.103350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.153400,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.203350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.253400,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.303350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.353400,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
1751195610.403350,0.000000,0.000000,0.000000,0.000000,1.320000,0.080000
