t,Vehicle_State,shutdown_reason
1751195961.709600,4.000000,0.000000
1751195961.719600,4.000000,0.000000
1751195961.729650,4.000000,0.000000
1751195961.739600,4.000000,0.000000
1751195961.749600,4.000000,0.000000
1751195961.759600,4.000000,0.000000
1751195961.769550,4.000000,0.000000
1751195961.779600,4.000000,0.000000
1751195961.789600,4.000000,0.000000
1751195961.799600,4.000000,0.000000
1751195961.809550,4.000000,0.000000
1751195961.819600,4.000000,0.000000
1751195961.829600,4.000000,0.000000
1751195961.839600,4.000000,0.000000
1751195961.849600,4.000000,0.000000
1751195961.859600,4.000000,0.000000
1751195961.869600,4.000000,0.000000
1751195961.879800,4.000000,0.000000
1751195961.889600,4.000000,0.000000
1751195961.899600,4.000000,0.000000
1751195961.909800,4.000000,0.000000
1751195961.919550,4.000000,0.000000
1751195961.929600,4.000000,0.000000
1751195961.939800,4.000000,0.000000
1751195961.949550,4.000000,0.000000
1751195961.959600,4.000000,0.000000
1751195961.969550,4.000000,0.000000
1751195961.979600,4.000000,0.000000
1751195961.989550,4.000000,0.000000
1751195961.999550,4.000000,0.000000
1751195962.009600,4.000000,0.000000
1751195962.019600,4.000000,0.000000
1751195962.029650,4.000000,0.000000
1751195962.039600,4.000000,0.000000
1751195962.049600,4.000000,0.000000
1751195962.059550,4.000000,0.000000
1751195962.069600,4.000000,0.000000
1751195962.079600,4.000000,0.000000
1751195962.089550,4.000000,0.000000
1751195962.099550,4.000000,0.000000
1751195962.109600,4.000000,0.000000
1751195962.119800,4.000000,0.000000
1751195962.129600,4.000000,0.000000
1751195962.139600,4.000000,0.000000
1751195962.149800,4.000000,0.000000
1751195962.159600,4.000000,0.000000
1751195962.169550,4.000000,0.000000
1751195962.179600,4.000000,0.000000
1751195962.189600,4.000000,0.000000
1751195962.199550,4.000000,0.000000
1751195962.209550,4.000000,0.000000
1751195962.219550,4.000000,0.000000
1751195962.229600,4.000000,0.000000
1751195962.239550,4.000000,0.000000
1751195962.249550,4.000000,0.000000
1751195962.259600,4.000000,0.000000
1751195962.269550,4.000000,0.000000
1751195962.279600,4.000000,0.000000
1751195962.289600,4.000000,0.000000
1751195962.299550,4.000000,0.000000
1751195962.309550,4.000000,0.000000
1751195962.319600,4.000000,0.000000
1751195962.329550,4.000000,0.000000
1751195962.339550,4.000000,0.000000
1751195962.349600,4.000000,0.000000
1751195962.359600,4.000000,0.000000
1751195962.369550,4.000000,0.000000
1751195962.379600,4.000000,0.000000
1751195962.389600,4.000000,0.000000
1751195962.399550,4.000000,0.000000
1751195962.409550,4.000000,0.000000
1751195962.419550,4.000000,0.000000
1751195962.429600,4.000000,0.000000
1751195962.439600,4.000000,0.000000
1751195962.449600,4.000000,0.000000
1751195962.459550,4.000000,0.000000
1751195962.469550,4.000000,0.000000
1751195962.479550,4.000000,0.000000
1751195962.489550,4.000000,0.000000
1751195962.499600,4.000000,0.000000
1751195962.509600,4.000000,0.000000
1751195962.519550,4.000000,0.000000
1751195962.529550,4.000000,0.000000
1751195962.539550,4.000000,0.000000
1751195962.549550,4.000000,0.000000
1751195962.559600,4.000000,0.000000
1751195962.569800,4.000000,0.000000
1751195962.579550,4.000000,0.000000
1751195962.589550,4.000000,0.000000
1751195962.599800,4.000000,0.000000
1751195962.609550,4.000000,0.000000
1751195962.619550,4.000000,0.000000
1751195962.629600,4.000000,0.000000
1751195962.639550,4.000000,0.000000
1751195962.649550,4.000000,0.000000
1751195962.659550,4.000000,0.000000
1751195962.669550,4.000000,0.000000
1751195962.679600,4.000000,0.000000
1751195962.689600,4.000000,0.000000
1751195962.699550,4.000000,0.000000
1751195962.709550,4.000000,0.000000
1751195962.719550,4.000000,0.000000
1751195962.729600,4.000000,0.000000
1751195962.739550,4.000000,0.000000
1751195962.749550,4.000000,0.000000
1751195962.759550,4.000000,0.000000
1751195962.769550,4.000000,0.000000
1751195962.779550,4.000000,0.000000
1751195962.789600,4.000000,0.000000
1751195962.799550,4.000000,0.000000
1751195962.809550,4.000000,0.000000
1751195962.819550,4.000000,0.000000
1751195962.829550,4.000000,0.000000
1751195962.839550,4.000000,0.000000
1751195962.849550,4.000000,0.000000
1751195962.859550,4.000000,0.000000
1751195962.869550,4.000000,0.000000
1751195962.879600,4.000000,0.000000
1751195962.889550,4.000000,0.000000
1751195962.899550,4.000000,0.000000
1751195962.909550,4.000000,0.000000
1751195962.919550,4.000000,0.000000
1751195962.929550,4.000000,0.000000
1751195962.939550,4.000000,0.000000
1751195962.949600,4.000000,0.000000
1751195962.959550,4.000000,0.000000
1751195962.969550,4.000000,0.000000
1751195962.979600,4.000000,0.000000
1751195962.989550,4.000000,0.000000
1751195962.999550,4.000000,0.000000
1751195963.009600,4.000000,0.000000
1751195963.019550,4.000000,0.000000
1751195963.029500,4.000000,0.000000
1751195963.039550,4.000000,0.000000
1751195963.049550,4.000000,0.000000
1751195963.059550,4.000000,0.000000
1751195963.069500,4.000000,0.000000
1751195963.079550,4.000000,0.000000
1751195963.089550,4.000000,0.000000
1751195963.099550,4.000000,0.000000
1751195963.109550,4.000000,0.000000
1751195963.119550,4.000000,0.000000
1751195963.129600,4.000000,0.000000
1751195963.139550,4.000000,0.000000
1751195963.149550,4.000000,0.000000
1751195963.159500,4.000000,0.000000
1751195963.169550,4.000000,0.000000
1751195963.179550,4.000000,0.000000
1751195963.189550,4.000000,0.000000
1751195963.199550,4.000000,0.000000
1751195963.209550,4.000000,0.000000
1751195963.219550,4.000000,0.000000
1751195963.229500,4.000000,0.000000
1751195963.239550,4.000000,0.000000
1751195963.249600,4.000000,0.000000
1751195963.259600,4.000000,0.000000
1751195963.269550,4.000000,0.000000
1751195963.279550,4.000000,0.000000
1751195963.289600,4.000000,0.000000
1751195963.299550,4.000000,0.000000
1751195963.309550,4.000000,0.000000
1751195963.319550,4.000000,0.000000
1751195963.329600,4.000000,0.000000
1751195963.339550,4.000000,0.000000
1751195963.349550,4.000000,0.000000
1751195963.359550,4.000000,0.000000
1751195963.369550,4.000000,0.000000
1751195963.379600,4.000000,0.000000
1751195963.389550,4.000000,0.000000
1751195963.399550,4.000000,0.000000
1751195963.409600,4.000000,0.000000
1751195963.419550,4.000000,0.000000
1751195963.429550,4.000000,0.000000
1751195963.439550,4.000000,0.000000
1751195963.449550,4.000000,0.000000
1751195963.459550,4.000000,0.000000
1751195963.469550,4.000000,0.000000
1751195963.479550,4.000000,0.000000
1751195963.489550,4.000000,0.000000
1751195963.499550,4.000000,0.000000
1751195963.509550,4.000000,0.000000
1751195963.519550,4.000000,0.000000
1751195963.529550,4.000000,0.000000
1751195963.539500,4.000000,0.000000
1751195963.549550,4.000000,0.000000
1751195963.559500,4.000000,0.000000
1751195963.569550,4.000000,0.000000
1751195963.579600,4.000000,0.000000
1751195963.589550,4.000000,0.000000
1751195963.599550,4.000000,0.000000
1751195963.609550,4.000000,0.000000
1751195963.619500,4.000000,0.000000
1751195963.629550,4.000000,0.000000
1751195963.639550,4.000000,0.000000
1751195963.649550,4.000000,0.000000
1751195963.659500,4.000000,0.000000
1751195963.669600,4.000000,0.000000
1751195963.679500,4.000000,0.000000
1751195963.689550,4.000000,0.000000
1751195963.699550,4.000000,0.000000
1751195963.709550,4.000000,0.000000
1751195963.719550,4.000000,0.000000
1751195963.729550,4.000000,0.000000
1751195963.739800,4.000000,0.000000
1751195963.749550,4.000000,0.000000
1751195963.759500,4.000000,0.000000
1751195963.769550,4.000000,0.000000
1751195963.779550,4.000000,0.000000
1751195963.789550,4.000000,0.000000
1751195963.799550,4.000000,0.000000
1751195963.809550,4.000000,0.000000
1751195963.819550,4.000000,0.000000
1751195963.829550,4.000000,0.000000
1751195963.839500,4.000000,0.000000
1751195963.849550,4.000000,0.000000
1751195963.859550,4.000000,0.000000
1751195963.869500,4.000000,0.000000
1751195963.879550,4.000000,0.000000
1751195963.889550,4.000000,0.000000
1751195963.899550,4.000000,0.000000
1751195963.909600,4.000000,0.000000
1751195963.919750,4.000000,0.000000
1751195963.929550,4.000000,0.000000
1751195963.939500,4.000000,0.000000
1751195963.949750,4.000000,0.000000
1751195963.959550,4.000000,0.000000
1751195963.969500,4.000000,0.000000
1751195963.979550,4.000000,0.000000
1751195963.989550,4.000000,0.000000
1751195963.999550,4.000000,0.000000
1751195964.009500,4.000000,0.000000
1751195964.019550,4.000000,0.000000
1751195964.029550,4.000000,0.000000
1751195964.039550,4.000000,0.000000
1751195964.049550,4.000000,0.000000
1751195964.059550,4.000000,0.000000
1751195964.069550,4.000000,0.000000
1751195964.079550,4.000000,0.000000
1751195964.089500,4.000000,0.000000
1751195964.099500,4.000000,0.000000
1751195964.109500,4.000000,0.000000
1751195964.119550,4.000000,0.000000
1751195964.129500,4.000000,0.000000
1751195964.139550,4.000000,0.000000
1751195964.149550,4.000000,0.000000
1751195964.159550,4.000000,0.000000
1751195964.169550,4.000000,0.000000
1751195964.179550,4.000000,0.000000
1751195964.189550,4.000000,0.000000
1751195964.199500,4.000000,0.000000
1751195964.209500,4.000000,0.000000
1751195964.219500,4.000000,0.000000
1751195964.229550,4.000000,0.000000
1751195964.239550,4.000000,0.000000
1751195964.249550,4.000000,0.000000
1751195964.259500,4.000000,0.000000
1751195964.269550,4.000000,0.000000
1751195964.279500,4.000000,0.000000
1751195964.289500,4.000000,0.000000
1751195964.299550,4.000000,0.000000
1751195964.309550,4.000000,0.000000
1751195964.319500,4.000000,0.000000
1751195964.329750,4.000000,0.000000
1751195964.339500,4.000000,0.000000
1751195964.349550,4.000000,0.000000
1751195964.359550,4.000000,0.000000
1751195964.369550,4.000000,0.000000
1751195964.379500,4.000000,0.000000
1751195964.389550,4.000000,0.000000
1751195964.399550,4.000000,0.000000
1751195964.409500,4.000000,0.000000
1751195964.419500,4.000000,0.000000
1751195964.429550,4.000000,0.000000
1751195964.439500,4.000000,0.000000
1751195964.449500,4.000000,0.000000
1751195964.459500,4.000000,0.000000
1751195964.469500,4.000000,0.000000
1751195964.479550,4.000000,0.000000
1751195964.489550,4.000000,0.000000
1751195964.499500,4.000000,0.000000
1751195964.509500,4.000000,0.000000
1751195964.519500,4.000000,0.000000
1751195964.529550,4.000000,0.000000
1751195964.539500,4.000000,0.000000
1751195964.549550,4.000000,0.000000
1751195964.559500,4.000000,0.000000
1751195964.569500,4.000000,0.000000
1751195964.579500,4.000000,0.000000
1751195964.589500,4.000000,0.000000
1751195964.599500,4.000000,0.000000
1751195964.609500,4.000000,0.000000
1751195964.619550,4.000000,0.000000
1751195964.629500,4.000000,0.000000
1751195964.639500,4.000000,0.000000
1751195964.649550,4.000000,0.000000
1751195964.659550,4.000000,0.000000
1751195964.669500,4.000000,0.000000
1751195964.679550,4.000000,0.000000
1751195964.689500,4.000000,0.000000
1751195964.699500,4.000000,0.000000
1751195964.709500,4.000000,0.000000
1751195964.719500,4.000000,0.000000
1751195964.729500,4.000000,0.000000
1751195964.739500,4.000000,0.000000
1751195964.749500,4.000000,0.000000
1751195964.759500,4.000000,0.000000
1751195964.769500,4.000000,0.000000
1751195964.779550,4.000000,0.000000
1751195964.789500,4.000000,0.000000
1751195964.799500,4.000000,0.000000
1751195964.809550,4.000000,0.000000
1751195964.819500,4.000000,0.000000
1751195964.829500,4.000000,0.000000
1751195964.839500,4.000000,0.000000
1751195964.849750,4.000000,0.000000
1751195964.859500,4.000000,0.000000
1751195964.869500,4.000000,0.000000
1751195964.879550,4.000000,0.000000
1751195964.889550,4.000000,0.000000
1751195964.899500,4.000000,0.000000
1751195964.909500,4.000000,0.000000
1751195964.919550,4.000000,0.000000
1751195964.929550,4.000000,0.000000
1751195964.939500,4.000000,0.000000
1751195964.949500,4.000000,0.000000
