t,ams_reset,ams_stop_charging,ams_charging_request,ams_precharge_req,ams_balancing_req
1751195818.893300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.903400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.913300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.923300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.933450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.943300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.953300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.963300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.973300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.983400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195818.993300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.003250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.013300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.023450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.033250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.043300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.053300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.063300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.073500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.083300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.093300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.103300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.113250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.123250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.133300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.143250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.153250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.163300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.173300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.183400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.193250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.203300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.213250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.223450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.233250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.243300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.253300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.263300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.273500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.283250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.293250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.303300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.313300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.323250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.333300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.343400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.353250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.363250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.373250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.383450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.393250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.403250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.413250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.423300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.433450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.443250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.453300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.463300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.473400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.483300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.493250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.503250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.513300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.523400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.533250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.543250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.553350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.563300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.573250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.583500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.593300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.603250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.613300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.623250,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.633400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.643300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195819.653300,0.000000,0.000000,0.000000,1.000000,0.000000
