t,sensor_spring_travel_fr,sensor_spring_travel_fl,sensor_brake_temp_fr,sensor_brake_temp_fl
1751195553957,61.7328,62.514,0.0,0.0
1751195554057,62.1972,62.6616,0.0,0.0
1751195554106,62.3682,62.6364,0.0,0.0
1751195554257,61.8066,62.7822,0.0,0.0
1751195554356,62.1486,62.0262,0.0,0.0
1751195554406,62.7102,62.172,0.0,0.0
1751195554507,63.0522,60.9516,0.0,0.0
1751195554607,63.3204,60.8544,0.0,0.0
1751195554707,63.4428,61.1226,0.0,0.0
1751195554757,63.3204,61.317,0.0,0.0
1751195555006,61.7328,62.7336,0.0,0.0
1751195555057,61.7328,62.8326,0.0,0.0
1751195555107,61.5132,62.7822,0.0,0.0
1751195555157,61.416,63.0522,0.0,0.0
1751195555207,61.3674,63.2232,0.0,0.0
1751195555257,61.3422,63.369,0.0,0.0
1751195555407,61.317,63.1746,0.0,0.0
1751195555457,61.1226,63.198,0.0,0.0
1751195555507,61.074,63.1746,0.0,0.0
1751195555556,61.317,63.3204,0.0,0.0
1751195555607,61.2198,63.3204,0.0,0.0
1751195555707,60.9768,63.2232,0.0,0.0
1751195555807,60.4386,63.6372,0.0,0.0
1751195555957,60.9516,62.3196,0.0,0.0
1751195556007,61.5618,62.343,0.0,0.0
1751195556057,61.659,62.2944,0.0,0.0
1751195556107,61.9524,62.3196,0.0,0.0
1751195556306,62.514,60.8544,0.0,0.0
1751195556357,62.514,61.1964,0.0,0.0
1751195556457,62.442,61.7328,0.0,0.0
1751195556506,61.8066,61.659,0.0,0.0
1751195556606,61.6104,62.1234,0.0,0.0
1751195556707,61.245,62.3196,0.0,0.0
1751195556757,61.2684,62.514,0.0,0.0
1751195556807,60.7554,62.5392,0.0,0.0
1751195556907,60.5124,63.0756,0.0,0.0
1751195556957,60.4134,63.1746,0.0,0.0
1751195557006,60.4134,63.5886,0.0,0.0
1751195557057,60.4134,63.6372,0.0,0.0
1751195557157,60.2442,63.4662,0.0,0.0
1751195557257,60.39,63.5652,0.0,0.0
1751195557306,60.39,63.5886,0.0,0.0
1751195557507,59.1192,64.1016,0.0,0.0
1751195557707,58.8276,64.053,0.0,0.0
1751195557907,59.6574,63.54,0.0,0.0
1751195558106,59.877,63.4914,0.0,0.0
1751195558357,59.7546,63.369,0.0,0.0
