t,amk_torque_limit_neg_right,amk_torque_limit_pos_right,amk_torque_target_right,amk_control_right
1751195986.549400,0.000000,214.200000,3.400000,1795.000000
1751195986.559400,0.000000,214.200000,3.400000,1795.000000
1751195986.569400,0.000000,214.200000,2.600000,1795.000000
1751195986.579450,0.000000,214.200000,2.600000,1795.000000
1751195986.589400,0.000000,214.200000,2.600000,1795.000000
1751195986.599400,0.000000,214.200000,2.600000,1795.000000
1751195986.609400,0.000000,214.200000,2.600000,1795.000000
1751195986.619400,0.000000,214.200000,3.400000,1795.000000
1751195986.629450,0.000000,214.200000,3.400000,1795.000000
1751195986.639350,0.000000,214.200000,3.400000,1795.000000
1751195986.649400,0.000000,214.200000,3.400000,1795.000000
1751195986.659400,0.000000,214.200000,3.400000,1795.000000
1751195986.669400,0.000000,214.200000,2.600000,1795.000000
1751195986.679450,0.000000,214.200000,2.600000,1795.000000
1751195986.689400,0.000000,214.200000,2.600000,1795.000000
1751195986.699400,0.000000,214.200000,2.600000,1795.000000
1751195986.709400,0.000000,214.200000,2.600000,1795.000000
1751195986.719650,0.000000,214.200000,4.300000,1795.000000
1751195986.729350,0.000000,214.200000,4.300000,1795.000000
1751195986.739400,0.000000,214.200000,4.300000,1795.000000
1751195986.749700,0.000000,214.200000,4.300000,1795.000000
1751195986.759350,0.000000,214.200000,4.300000,1795.000000
1751195986.769400,0.000000,214.200000,3.400000,1795.000000
1751195986.779400,0.000000,214.200000,3.400000,1795.000000
1751195986.789400,0.000000,214.200000,3.400000,1795.000000
1751195986.799450,0.000000,214.200000,3.400000,1795.000000
1751195986.809400,0.000000,214.200000,3.400000,1795.000000
1751195986.819400,0.000000,214.200000,4.300000,1795.000000
1751195986.829400,0.000000,214.200000,4.300000,1795.000000
1751195986.839400,0.000000,214.200000,4.300000,1795.000000
1751195986.849400,0.000000,214.200000,4.300000,1795.000000
1751195986.859400,0.000000,214.200000,4.300000,1795.000000
1751195986.869400,0.000000,214.200000,3.400000,1795.000000
1751195986.879450,0.000000,214.200000,3.400000,1795.000000
1751195986.889350,0.000000,214.200000,3.400000,1795.000000
1751195986.899400,0.000000,214.200000,3.400000,1795.000000
1751195986.909400,0.000000,214.200000,3.400000,1795.000000
1751195986.919350,0.000000,214.200000,2.600000,1795.000000
1751195986.929650,0.000000,214.200000,2.600000,1795.000000
1751195986.939350,0.000000,214.200000,2.600000,1795.000000
1751195986.949450,0.000000,214.200000,2.600000,1795.000000
1751195986.959650,0.000000,214.200000,2.600000,1795.000000
1751195986.969400,0.000000,214.200000,3.400000,1795.000000
1751195986.979350,0.000000,214.200000,3.400000,1795.000000
1751195986.989400,0.000000,214.200000,3.400000,1795.000000
1751195986.999400,0.000000,214.200000,3.400000,1795.000000
1751195987.009400,0.000000,214.200000,3.400000,1795.000000
1751195987.019400,0.000000,214.200000,4.300000,1795.000000
1751195987.029400,0.000000,214.200000,4.300000,1795.000000
1751195987.039400,0.000000,214.200000,4.300000,1795.000000
1751195987.049400,0.000000,214.200000,4.300000,1795.000000
1751195987.059400,0.000000,214.200000,4.300000,1795.000000
1751195987.069350,0.000000,214.200000,3.400000,1795.000000
1751195987.079400,0.000000,214.200000,3.400000,1795.000000
1751195987.089400,0.000000,214.200000,3.400000,1795.000000
1751195987.099400,0.000000,214.200000,3.400000,1795.000000
1751195987.109400,0.000000,214.200000,3.400000,1795.000000
1751195987.119400,0.000000,214.200000,2.600000,1795.000000
1751195987.129450,0.000000,214.200000,2.600000,1795.000000
1751195987.139350,0.000000,214.200000,2.600000,1795.000000
1751195987.149400,0.000000,214.200000,2.600000,1795.000000
1751195987.159400,0.000000,214.200000,2.600000,1795.000000
1751195987.169650,0.000000,214.200000,2.600000,1795.000000
1751195987.179400,0.000000,214.200000,2.600000,1795.000000
1751195987.189400,0.000000,214.200000,2.600000,1795.000000
1751195987.199650,0.000000,214.200000,2.600000,1795.000000
1751195987.209350,0.000000,214.200000,2.600000,1795.000000
1751195987.219400,0.000000,214.200000,2.600000,1795.000000
1751195987.229450,0.000000,214.200000,2.600000,1795.000000
1751195987.239400,0.000000,214.200000,2.600000,1795.000000
1751195987.249350,0.000000,214.200000,2.600000,1795.000000
1751195987.259350,0.000000,214.200000,2.600000,1795.000000
1751195987.269400,0.000000,214.200000,3.400000,1795.000000
1751195987.279400,0.000000,214.200000,3.400000,1795.000000
1751195987.289400,0.000000,214.200000,3.400000,1795.000000
1751195987.299400,0.000000,214.200000,3.400000,1795.000000
1751195987.309400,0.000000,214.200000,3.400000,1795.000000
