t,sensor_apps_valid,sensor_brake_pressure_f,sensor_wheel_speed_fr,sensor_wheel_speed_fl,sensor_steering_angle,sensor_brake_pressure_r,sensor_apps
1751195779.809350,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,66.800000
1751195779.859500,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,67.200000
1751195779.909650,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,67.200000
1751195779.959450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,67.200000
1751195780.009800,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,66.400000
1751195780.059650,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,66.400000
1751195780.109700,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,66.400000
1751195780.159350,1.000000,2.400000,0.000000,0.000000,-20.000000,2.240000,66.800000
1751195780.209300,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,68.000000
1751195780.259500,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,76.000000
1751195780.309600,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,76.800000
1751195780.359450,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,74.800000
1751195780.409900,1.000000,2.400000,0.000000,0.000000,-20.000000,2.240000,74.800000
1751195780.459950,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,74.800000
1751195780.509450,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,74.000000
1751195780.559800,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,73.200000
1751195780.609450,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,73.200000
1751195780.659500,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,70.400000
1751195780.710000,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,70.400000
1751195780.759600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,71.200000
1751195780.809650,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,72.000000
1751195780.859700,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,73.600000
1751195780.909400,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,77.200000
1751195780.959650,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,78.000000
1751195781.009900,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,82.400000
1751195781.059850,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,86.800000
1751195781.109500,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,86.800000
1751195781.159400,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,86.800000
1751195781.209650,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,86.800000
1751195781.259600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,87.200000
1751195781.309600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,84.800000
1751195781.359650,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,84.800000
1751195781.409350,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,82.800000
1751195781.460000,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,76.000000
1751195781.509750,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,55.200000
1751195781.559700,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,23.200000
1751195781.609450,1.000000,2.560000,0.000000,0.000000,-20.000000,2.240000,5.600000
1751195781.659550,1.000000,4.000000,0.000000,0.000000,-20.000000,3.200000,3.600000
1751195781.709650,1.000000,5.120000,0.000000,0.000000,-20.000000,3.680000,2.000000
1751195781.760000,1.000000,5.600000,0.000000,0.000000,-20.000000,4.000000,0.800000
1751195781.809600,1.000000,5.280000,0.000000,0.000000,-20.000000,3.680000,1.200000
1751195781.859450,1.000000,6.240000,0.000000,0.000000,-20.000000,4.160000,1.200000
1751195781.909750,1.000000,7.200000,0.000000,0.000000,-20.000000,4.800000,1.200000
1751195781.959950,1.000000,8.800000,0.000000,0.000000,-20.000000,6.080000,0.800000
1751195782.009600,1.000000,9.280000,0.000000,0.000000,-20.000000,6.240000,0.000000
1751195782.059550,1.000000,9.280000,0.000000,0.000000,-20.000000,5.920000,1.200000
1751195782.109700,1.000000,9.920000,0.000000,0.000000,-20.000000,6.080000,1.200000
1751195782.159600,1.000000,10.560000,0.000000,0.000000,-20.000000,6.880000,1.200000
1751195782.209400,1.000000,12.480000,0.000000,0.000000,-20.000000,7.840000,0.800000
1751195782.259500,1.000000,12.960000,0.000000,0.000000,-20.000000,8.160000,0.000000
1751195782.309300,1.000000,13.280000,0.000000,0.000000,-20.000000,8.800000,0.000000
1751195782.359700,1.000000,14.560000,0.000000,0.000000,-20.000000,8.640000,1.200000
1751195782.409900,1.000000,14.720000,0.000000,0.000000,-20.000000,8.800000,1.200000
1751195782.459650,1.000000,14.400000,0.000000,0.000000,-20.000000,8.800000,1.200000
1751195782.509950,1.000000,15.200000,0.000000,0.000000,-20.000000,9.120000,0.800000
1751195782.559700,1.000000,15.200000,0.000000,0.000000,-20.000000,8.800000,0.000000
1751195782.609550,1.000000,14.080000,0.000000,0.000000,-20.000000,8.000000,1.200000
